entity_id,entity_name,entity_type,ef_value,ef_unit,region,source_dataset,confidence,timestamp,tags
1111A0,1111A0 - Carbon dioxide,sector,0.6229581487009427,kg/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:Carbon dioxide', 'Context:emission/air', 'Level:Detail']"
1111A0,1111A0 - Methane,sector,0.0023457761530235,kg/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:Methane', 'Context:emission/air', 'Level:Detail']"
1111A0,1111A0 - Nitrous oxide,sector,0.0029925765516439,kg/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:Nitrous oxide', 'Context:emission/air', 'Level:Detail']"
1111A0,1111A0 - Sulfur hexafluoride,sector,9.844925654904584e-08,kg/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:Sulfur hexafluoride', 'Context:emission/air', 'Level:Detail']"
1111A0,1111A0 - HFCs and PFCs unspecified,sector,0.0312475791462523,kg CO2e/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:HFCs and PFCs, unspecified', 'Context:emission/air', 'Level:Detail']"
1111B0,1111B0 - Carbon dioxide,sector,0.7110877252211636,kg/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:Carbon dioxide', 'Context:emission/air', 'Level:Detail']"
1111B0,1111B0 - Methane,sector,0.0060587343712853,kg/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:Methane', 'Context:emission/air', 'Level:Detail']"
1111B0,1111B0 - Nitrous oxide,sector,0.001571765969765,kg/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:Nitrous oxide', 'Context:emission/air', 'Level:Detail']"
1111B0,1111B0 - Sulfur hexafluoride,sector,1.6664361850540909e-07,kg/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:Sulfur hexafluoride', 'Context:emission/air', 'Level:Detail']"
1111B0,1111B0 - HFCs and PFCs unspecified,sector,0.0744663799707995,kg CO2e/USD,US,USEEIO_v2.1,0.7,2025-03-13,"['Flow:HFCs and PFCs, unspecified', 'Context:emission/air', 'Level:Detail']"
