entity_id,entity_name,entity_type,ef_value,ef_unit,region,source_dataset,confidence,timestamp,tags,is_outlier
AUS_agriculture_crops,Crops in Agriculture,agriculture,95967657131.30327,kg CO2e,AUS,Climate_TRACE,0.8012432487257852,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2015']",False
AUS_agriculture_crops,Crops in Agriculture,agriculture,108410832729.2808,kg CO2e,AUS,Climate_TRACE,0.7987610384163136,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2016']",False
AUS_agriculture_crops,Crops in Agriculture,agriculture,94360857148.04172,kg CO2e,AUS,Climate_TRACE,0.7844455849816425,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2017']",False
AUS_agriculture_crops,Crops in Agriculture,agriculture,119114481363.60081,kg CO2e,AUS,Climate_TRACE,0.8311658064177561,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2018']",False
AUS_agriculture_crops,Crops in Agriculture,agriculture,102058158987.85663,kg CO2e,AUS,Climate_TRACE,0.8012248613797226,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2019']",False
AUS_agriculture_crops,Crops in Agriculture,agriculture,111206432540.0188,kg CO2e,AUS,Climate_TRACE,0.7715381612688123,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2020']",False
AUS_agriculture_crops,Crops in Agriculture,agriculture,133597099887.9687,kg CO2e,AUS,Climate_TRACE,0.7936812725712072,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2021']",False
AUS_agriculture_crops,Crops in Agriculture,agriculture,143779191585.83008,kg CO2e,AUS,Climate_TRACE,0.8679705517473448,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2022']",False
AUS_agriculture_crops,Crops in Agriculture,agriculture,126657794763.79344,kg CO2e,AUS,Climate_TRACE,0.7973554467525233,2025-03-13,"['sector:agriculture', 'subsector:crops', 'year:2023']",False
AUS_agriculture_fertilizer,Fertilizer in Agriculture,agriculture,71871205966.71007,kg CO2e,AUS,Climate_TRACE,0.7577651644897915,2025-03-13,"['sector:agriculture', 'subsector:fertilizer', 'year:2015']",False
AUS_agriculture_fertilizer,Fertilizer in Agriculture,agriculture,103366099580.43306,kg CO2e,AUS,Climate_TRACE,0.733427830856581,2025-03-13,"['sector:agriculture', 'subsector:fertilizer', 'year:2016']",False
AUS_agriculture_fertilizer,Fertilizer in Agriculture,agriculture,97306238000.39684,kg CO2e,AUS,Climate_TRACE,0.7219725973959797,2025-03-13,"['sector:agriculture', 'subsector:fertilizer', 'year:2017']",False
AUS_agriculture_fertilizer,Fertilizer in Agriculture,agriculture,92095187189.94537,kg CO2e,AUS,Climate_TRACE,0.7863711518398097,2025-03-13,"['sector:agriculture', 'subsector:fertilizer', 'year:2018']",False
AUS_agriculture_fertilizer,Fertilizer in Agriculture,agriculture,122011501285.09665,kg CO2e,AUS,Climate_TRACE,0.7896672210800824,2025-03-13,"['sector:agriculture', 'subsector:fertilizer', 'year:2019']",False
