entity_id,entity_name,entity_type,ef_value,ef_unit,region,source_dataset,confidence,timestamp,tags,is_outlier
1001,1001,product,3.14,kg CO2e/kg,FR,Agribalyse_3.1,0.9445810028662252,2025-03-13,['Cereal products'],False
1002,1002,product,2.88,kg CO2e/kg,FR,Agribalyse_3.1,0.9101000231610046,2025-03-13,['Cereal products'],False
1003,1003,product,2.82,kg CO2e/kg,FR,Agribalyse_3.1,0.9927775131403144,2025-03-13,['Cereal products'],False
1004,1004,product,3.28,kg CO2e/kg,FR,Agribalyse_3.1,0.7334645739054019,2025-03-13,['Cereal products'],False
1005,1005,product,3.32,kg CO2e/kg,FR,Agribalyse_3.1,0.974598560424184,2025-03-13,['Cereal products'],False
1006,1006,product,2.87,kg CO2e/kg,FR,Agribalyse_3.1,0.824631717436586,2025-03-13,['Cereal products'],False
1007,1007,product,3.02,kg CO2e/kg,FR,Agribalyse_3.1,0.7495837797120902,2025-03-13,['Cereal products'],False
1008,1008,product,2.09,kg CO2e/kg,FR,Agribalyse_3.1,0.7607097056740139,2025-03-13,['Cereal products'],False
1009,1009,product,4.75,kg CO2e/kg,FR,Agribalyse_3.1,0.7873017544285463,2025-03-13,['Cereal products'],False
1010,1010,product,4.83,kg CO2e/kg,FR,Agribalyse_3.1,0.7280660214583654,2025-03-13,['Cereal products'],False
1011,1011,product,40.8,kg CO2e/kg,FR,Agribalyse_3.1,0.743765935596618,2025-03-13,['Cereal products'],True
1012,1012,product,1.06,kg CO2e/kg,FR,Agribalyse_3.1,0.9447873686312626,2025-03-13,['Cereal products'],False
1013,1013,product,3.83,kg CO2e/kg,FR,Agribalyse_3.1,0.911649977335381,2025-03-13,['Cereal products'],False
1014,1014,product,1.54,kg CO2e/kg,FR,Agribalyse_3.1,0.7190630685640826,2025-03-13,['Cereal products'],False
1015,1015,product,4.9,kg CO2e/kg,FR,Agribalyse_3.1,0.95480752260879,2025-03-13,['Cereal products'],False
1016,1016,product,0.53,kg CO2e/kg,FR,Agribalyse_3.1,0.7606195245213265,2025-03-13,['Cereal products'],False
1017,1017,product,1.26,kg CO2e/kg,FR,Agribalyse_3.1,0.8125269692051313,2025-03-13,['Cereal products'],False
1018,1018,product,1.01,kg CO2e/kg,FR,Agribalyse_3.1,0.8786501099042374,2025-03-13,['Cereal products'],False
1019,1019,product,1.24,kg CO2e/kg,FR,Agribalyse_3.1,0.763841431105354,2025-03-13,['Cereal products'],False
1020,1020,product,0.57,kg CO2e/kg,FR,Agribalyse_3.1,0.8752820884775643,2025-03-13,['Cereal products'],False
