primary_id,primary_name,primary_source,secondary_id,secondary_name,secondary_source,match_confidence
1111A0,1111A0 - Carbon dioxide,useeio,1111A0,1111A0 - Carbon dioxide,useeio,0.9
1111A0,1111A0 - Carbon dioxide,useeio,1111A0,1111A0 - Carbon dioxide,useeio,0.9
1111A0,1111A0 - Carbon dioxide,useeio,1111A0,1111A0 - Carbon dioxide,useeio,0.9
1111A0,1111A0 - Carbon dioxide,useeio,1111A0,1111A0 - Carbon dioxide,useeio,0.9
1111A0,1111A0 - Carbon dioxide,useeio,1111A0,1111A0 - Carbon dioxide,useeio,0.9
1111A0,1111A0 - Carbon dioxide,useeio,1111A0,1111A0 - Carbon dioxide,useeio,0.9
1111A0,1111A0 - Carbon dioxide,useeio,1111A0,1111A0 - Carbon dioxide,useeio,0.9
1111A0,1111A0 - HFCs and PFCs unspecified,useeio,1111A0,1111A0 - HFCs and PFCs unspecified,useeio,0.9
1111A0,1111A0 - HFCs and PFCs unspecified,useeio,1111A0,1111A0 - HFCs and PFCs unspecified,useeio,0.9
1111A0,1111A0 - HFCs and PFCs unspecified,useeio,1111A0,1111A0 - HFCs and PFCs unspecified,useeio,0.9
1111A0,1111A0 - HFCs and PFCs unspecified,useeio,1111A0,1111A0 - HFCs and PFCs unspecified,useeio,0.9
1111A0,1111A0 - HFCs and PFCs unspecified,useeio,1111A0,1111A0 - HFCs and PFCs unspecified,useeio,0.9
1111A0,1111A0 - HFCs and PFCs unspecified,useeio,1111A0,1111A0 - HFCs and PFCs unspecified,useeio,0.9
1111A0,1111A0 - HFCs and PFCs unspecified,useeio,1111A0,1111A0 - HFCs and PFCs unspecified,useeio,0.9
1111A0,1111A0 - Methane,useeio,1111A0,1111A0 - Methane,useeio,0.9
1111A0,1111A0 - Methane,useeio,1111A0,1111A0 - Methane,useeio,0.9
1111A0,1111A0 - Methane,useeio,1111A0,1111A0 - Methane,useeio,0.9
1111A0,1111A0 - Methane,useeio,1111A0,1111A0 - Methane,useeio,0.9
1111A0,1111A0 - Methane,useeio,1111A0,1111A0 - Methane,useeio,0.9
1111A0,1111A0 - Methane,useeio,1111A0,1111A0 - Methane,useeio,0.9
1111A0,1111A0 - Methane,useeio,1111A0,1111A0 - Methane,useeio,0.9
1111A0,1111A0 - Nitrous oxide,useeio,1111A0,1111A0 - Nitrous oxide,useeio,0.9
1111A0,1111A0 - Nitrous oxide,useeio,1111A0,1111A0 - Nitrous oxide,useeio,0.9
1111A0,1111A0 - Nitrous oxide,useeio,1111A0,1111A0 - Nitrous oxide,useeio,0.9
1111A0,1111A0 - Nitrous oxide,useeio,1111A0,1111A0 - Nitrous oxide,useeio,0.9
1111A0,1111A0 - Nitrous oxide,useeio,1111A0,1111A0 - Nitrous oxide,useeio,0.9
1111A0,1111A0 - Nitrous oxide,useeio,1111A0,1111A0 - Nitrous oxide,useeio,0.9
1111A0,1111A0 - Nitrous oxide,useeio,1111A0,1111A0 - Nitrous oxide,useeio,0.9
1111A0,1111A0 - Sulfur hexafluoride,useeio,1111A0,1111A0 - Sulfur hexafluoride,useeio,0.9
1111A0,1111A0 - Sulfur hexafluoride,useeio,1111A0,1111A0 - Sulfur hexafluoride,useeio,0.9
1111A0,1111A0 - Sulfur hexafluoride,useeio,1111A0,1111A0 - Sulfur hexafluoride,useeio,0.9
1111A0,1111A0 - Sulfur hexafluoride,useeio,1111A0,1111A0 - Sulfur hexafluoride,useeio,0.9
